CustomerID,Region,CustomerJoinDate
345e77bf-4a44-4a4c-9b4f-6f5e21e39e8b,East,2023-08-03
c672d9cb-b74b-48ea-bff3-908ff9790632,West,2023-03-13
19ebe822-7b55-4146-9fbf-7f30a95fcc27,West,2023-09-08
8553b15d-bab5-41e2-b9b1-3bd3e2a7c51e,West,2023-04-17
2de84462-b349-47ab-8700-7ac254586db9,West,2023-01-23
cc8645a3-a19b-4915-9cc6-2dce14049120,West,2023-09-26
96550947-3cf0-4e17-816e-b347b9a4b83a,East,2023-05-26
515d5080-8725-4a15-b600-a0b1c9761f39,West,2023-06-29
23781516-59fe-4b3b-af71-4d6cb8a012ad,East,2023-10-15
977445c9-8561-4c71-a03c-ddf327b5dfc2,West,2023-07-27
ebd558e7-7e80-4319-b5f2-1bbd43d443b7,East,2023-05-04
0a5d8031-b5a7-4be4-8d5d-63b70f2a67c7,East,2023-09-13
967b5e21-3557-4672-b9fa-1329548890df,West,2023-04-25
98aaf1ba-6661-4a2c-b7de-6279ddc742ec,East,2023-08-21
82df6f1e-6e7d-40cd-aec0-e796f8f27a63,East,2023-07-05
e5040015-0c1f-4b62-84e4-6278ebfb2842,West,2023-02-25
a1d952b9-ce77-46c9-a08b-f5e62486096f,East,2023-04-30
ac87ecf7-ef9d-4b6a-84c4-7c1aa07eab14,West,2023-03-25
fdfd6a26-e160-41ca-ba3d-6a74d52e433b,West,2023-10-23
a8baf97f-b8fe-4e51-bb9e-6f7782e358bb,East,2023-08-31
6484f72d-36e0-4b57-b749-fc901a112e94,North,2023-09-18
29486f10-bb43-41fd-81d6-04068a069c06,West,2023-06-16
b35be8e1-a9c3-4905-9242-bcf0b3d07df3,East,2023-12-13
41a9aaff-9207-4a6c-81cc-76310bcf0d31,West,2023-10-08
80ff4978-481e-4e21-a861-b4000fe3f313,East,2023-12-16
65ab0594-c227-4bd9-816a-bd5336c91223,West,2023-02-02
f3e60614-ba5e-441d-8f9e-2cb6807bfc3d,East,2023-04-21
5aef6f06-ce0f-4b73-af6a-f098779ff3ec,West,2023-01-03
db3b8c62-9cf3-448b-8e67-f6f0ad9cc3a6,West,2023-04-12
706c67be-d537-4a97-a512-10ad15c1beab,East,2023-08-23
7eb4763b-0f54-4e8d-aadf-e151e3a76463,North,2023-06-25
d960ec46-3288-4c77-82ec-5c1304a160ee,South,2023-05-13
d72c51fa-89a1-4147-99f4-2dcf892fdbcc,North,2023-04-21
19ffd59d-83b2-472d-9e3b-ccd79ee91948,North,2023-05-22
77b39e16-0010-44c1-a42e-e0de5a0cb50d,West,2023-02-03
ca3f398d-7265-4d2a-ab5c-1f388cbd8370,East,2023-05-25
ad067b85-adea-4786-937c-1a59ae64c758,West,2023-09-28
3027e6f9-f285-49fb-93a7-932583102f1b,East,2023-09-02
f77e8ca6-870a-4191-8a37-8f36802e1308,West,2023-03-21
ab8adb41-5ec5-456d-a160-a01affd920c4,West,2023-05-23
4661672e-252f-4297-8b05-ba339f296241,West,2023-02-10
eae2fd4d-7639-4f54-9b71-82d5e220e66d,West,2023-08-23
868ce574-ced2-49c2-a90a-6e89e6640934,West,2023-08-14
2839ee13-c4a8-495e-b522-7e1772610d15,West,2023-03-14
836d1925-ab48-4775-b129-86ba759b8998,South,2023-06-19
3b45412d-606b-4a6b-a950-cf1cd25d6753,East,2023-07-22
c3232819-ef1b-4fb8-b82c-17c22911890b,East,2023-08-16
9a8ec59b-2f40-4e75-8cd4-c3e0b5428bff,West,2023-10-02
b08475ba-c996-423d-9837-a8cde0c0e7ca,South,2023-10-24
1959deb4-14ea-44cb-b5a1-915e9485b006,East,2023-05-28
a569db7e-4e9f-449e-a108-c6eef0392bd1,North,2023-01-07
2ccc1c6a-36c7-484e-b583-fadb4cca5349,East,2023-12-27
843aafe5-e9e0-4c4e-88c3-15357434a75d,East,2023-05-22
6a60908f-c782-4a70-9760-68affc310ed5,West,2023-01-17
f088c821-8bcc-4b69-9b36-31b0edeb5653,West,2023-10-28
15d97f4e-fe02-4142-91c2-832282eaa6a0,West,2023-09-09
53ae5591-e674-4d99-b667-f052300fccdf,West,2023-09-12
6584d2ab-048e-4111-a909-2b4fd3416e18,West,2023-08-06
944fb82a-0480-4a55-a4a2-abb2c61681a4,East,2023-01-07
019d6740-e346-47b9-b042-acab3646d400,West,2023-01-13
b8742a68-3c6f-4763-82e4-66e3505a12ce,South,2023-10-08
d84a5bc4-af44-4030-9e24-d893b6f6e966,East,2023-12-12
aff5b637-3d55-48c8-b9fc-194dfcb369ae,West,2023-06-07
b295e870-f1a9-461d-93fd-c2f7f686e10e,East,2023-01-07
980d0516-288c-4e8a-8672-b19b88808fed,West,2023-12-09
9893a9d5-0732-4f1a-acfc-0dac56457425,South,2023-03-08
b7fd8f42-7477-4c83-ba82-eee3bef2f366,South,2023-07-29
cbe5ec95-f2db-4399-a450-5e95b5f0f896,West,2023-05-07
bb5d5299-436f-4cea-91b1-ab3f2d3f9922,East,2023-06-26
55788ef6-2576-4528-9264-9b49765f072d,East,2023-05-19
582a03eb-4c34-43b2-a8d8-fe3086df23a6,East,2023-09-21
