OrderID,CustomerID,ProductID,OrderDate,Quantity,Revenue,COGS,SourceFile
3685c29f-0492-450c-9a61-e93c633ba866,a1d952b9-ce77-46c9-a08b-f5e62486096f,1013,1/1/2025,2,122.08,51.41,Orders_2025.csv
f3c573df-56ce-4619-bc05-7c426de7f2ee,cd62b435-4559-412b-9fab-4861a5e87475,1034,1/1/2025,1,338.36,148.17,Orders_2025.csv
59abfb23-1d32-4c33-a5b6-cddb1a61780f,4566cff3-db65-43ab-ad22-32107433a602,1050,1/1/2025,4,293.64,109.16,Orders_2025.csv
f85ca148-9dcc-4488-a3ce-48bb5fdb0ad6,7f9f3881-a8b6-4a15-a3fb-4f4b7e75e1ef,1021,1/1/2025,3,183.78,105.44,Orders_2025.csv
f333a8e1-66ba-46f3-a830-a154afc0e56a,596febf3-9aa4-4c07-88ab-f7662388e50c,1024,1/1/2025,3,224.61,57.58,Orders_2025.csv
fb30b1dc-81f6-4030-9dee-516e42a134f6,c672d9cb-b74b-48ea-bff3-908ff9790632,1046,1/2/2025,1,61.26,35.15,Orders_2025.csv
715973e8-381f-47ea-9ec0-9ef9a08920ff,dc375298-2549-4d89-b752-d6e8f0a711af,1012,1/2/2025,3,104.61,77.91,Orders_2025.csv
fcc2f521-d51e-4965-b29d-f772744667c7,8ee81a10-51c3-4f56-82b0-d43244ecdac5,1024,1/2/2025,4,299.48,76.78,Orders_2025.csv
f3ab4a96-1727-4306-8d6b-98200dd31748,6eb9203d-35ae-4742-bb1e-911b16965477,1032,1/2/2025,1,254.72,130.28,Orders_2025.csv
ad947c41-7384-4732-8365-ea2aeb33b227,,1006,1/3/2025,2,464.4,156.77,Orders_2025.csv
f67fb8e7-373e-46aa-b512-84abfe710d15,bf0d6160-338f-4cad-8123-0b5a6763b192,1033,1/3/2025,1,235.76,132.48,Orders_2025.csv
a16ee5e4-1df2-4760-8105-7a29fcc11299,ac0e0eee-04eb-4dd6-bb52-3a2a532b62c0,1021,1/3/2025,1,61.26,35.15,Orders_2025.csv
1477709f-5755-4892-9a77-fdb2550c0f4f,515d5080-8725-4a15-b600-a0b1c9761f39,1044,1/4/2025,3,64.11,24.78,Orders_2025.csv
b97225df-3122-47b1-9628-b21af69052f8,706c67be-d537-4a97-a512-10ad15c1beab,1024,1/6/2025,4,299.48,76.78,Orders_2025.csv
2026cb84-0013-4e7a-b55d-ab7c1ce3c959,ad067b85-adea-4786-937c-1a59ae64c758,1027,1/6/2025,3,106.59,17.79,Orders_2025.csv
6ac72edf-68b1-48b8-ad75-340fd36401c4,8052c4aa-8c4b-40e1-8d5a-42ba025adeab,1015,1/6/2025,3,72.39,27.88,Orders_2025.csv
08ad60ba-774a-4643-8466-4d34380a1f72,d245da28-64dc-4d8d-9d1f-6f6cab7abb85,1037,1/6/2025,2,69.74,51.94,Orders_2025.csv
305b39a2-172b-4162-be5b-e70e03b3a81a,80ff4978-481e-4e21-a861-b4000fe3f313,1024,1/7/2025,3,224.61,57.58,Orders_2025.csv
58e9c301-08b1-4506-87c0-88760828f42c,42b384aa-9070-4b83-bab4-3a016da0af40,1003,1/7/2025,3,121.05,38.58,Orders_2025.csv
7d8e7f9b-7d3c-43be-b970-e9dfcae2d0e3,0aca39d0-c1c9-450c-bf56-9026ed1420ff,1005,1/7/2025,1,19.06,11.97,Orders_2025.csv
3b347f48-fd06-4dba-80fa-7a61be73ad55,fcd08e95-2618-4bc4-9e53-a3a4cfe97e16,1005,1/7/2025,3,57.18,35.9,Orders_2025.csv
a84dd998-cecc-4b19-a5ca-fa0049a35061,e5136dae-ecfe-4abb-b3a4-001763a5476d,1038,1/7/2025,2,122.08,51.41,Orders_2025.csv
b46a3427-c6d2-42b7-8488-70dc447561d5,d245da28-64dc-4d8d-9d1f-6f6cab7abb85,1017,1/7/2025,4,60.92,53.59,Orders_2025.csv
