OrderID,CustomerID,ProductID,OrderDate,Quantity,Revenue,COGS,SourceFile
54edd263-a786-4491-9ac7-102462c4a276,345e77bf-4a44-4a4c-9b4f-6f5e21e39e8b,1045,2024-07-16,1,27.37,23.0,Orders_2024.csv
156b69c6-5b2a-4a82-9d03-88971dbf8007,345e77bf-4a44-4a4c-9b4f-6f5e21e39e8b,1004,2024-07-31,2,46.98,19.26,Orders_2024.csv
b143f099-097e-40a8-a8ea-2733170fc881,345e77bf-4a44-4a4c-9b4f-6f5e21e39e8b,1004,2024-03-18,4,93.96,38.51,Orders_2024.csv
e938b7c8-6469-415a-abad-a3e6c49017e9,345e77bf-4a44-4a4c-9b4f-6f5e21e39e8b,1015,2024-12-01,1,24.13,8.87,Orders_2024.csv
109b1b45-84f8-4f11-8dfa-38986b8f656a,345e77bf-4a44-4a4c-9b4f-6f5e21e39e8b,1043,2024-03-12,3,129.84,59.63,Orders_2024.csv
e6b21780-b389-471d-9e18-7331f6805f65,c672d9cb-b74b-48ea-bff3-908ff9790632,1014,2024-11-20,4,96.4,80.98,Orders_2024.csv
b48238d6-d1bb-4a15-88eb-82b775771d5f,c672d9cb-b74b-48ea-bff3-908ff9790632,1011,2024-05-27,4,107.32,55.94,Orders_2024.csv
a6623447-a288-4c52-891f-3a114494f471,c672d9cb-b74b-48ea-bff3-908ff9790632,1043,2024-08-23,3,129.84,59.63,Orders_2024.csv
75808aff-cc4b-4616-9a18-6a8fd8022160,c672d9cb-b74b-48ea-bff3-908ff9790632,1029,2024-11-06,1,23.49,9.63,Orders_2024.csv
7179a8ed-b76c-46cd-a85f-19da67276892,c672d9cb-b74b-48ea-bff3-908ff9790632,1006,2024-03-25,1,232.2,74.82,Orders_2024.csv
67717b55-f852-4ff1-b7f1-624761d9d860,c672d9cb-b74b-48ea-bff3-908ff9790632,1034,2024-03-04,3,1015.08,424.3,Orders_2024.csv
6c6d39fb-0715-4791-8ef4-a8408dfeabd0,c672d9cb-b74b-48ea-bff3-908ff9790632,1025,2024-12-18,2,146.82,52.1,Orders_2024.csv
d98afda9-bed5-41e6-aa23-8b11cb0bdb5e,c672d9cb-b74b-48ea-bff3-908ff9790632,1037,2024-09-04,4,139.48,99.16,Orders_2024.csv
