OrderID,CustomerID,ProductID,OrderDate,Quantity,Revenue,COGS,SourceFile
53a9ac5e-e0df-491b-af5a-171c8e3ea288,345e77bf-4a44-4a4c-9b4f-6f5e21e39e8b,1016,2023-01-11,1,43.2,28.28,Orders_2023.csv
129d9c61-160a-4253-9e87-4a1626963ef1,345e77bf-4a44-4a4c-9b4f-6f5e21e39e8b,1010,2023-12-08,2,210.46,135.9,Orders_2023.csv
0fe79c57-f7e4-40a2-9970-44fb7cbf8188,345e77bf-4a44-4a4c-9b4f-6f5e21e39e8b,1040,2023-11-06,2,48.26,16.9,Orders_2023.csv
16d96526-e2e7-4484-9b1d-f9a80431bce8,345e77bf-4a44-4a4c-9b4f-6f5e21e39e8b,1015,2023-02-02,4,96.52,33.8,Orders_2023.csv
52dfee96-beed-4ac6-935a-81aaa1ccb578,345e77bf-4a44-4a4c-9b4f-6f5e21e39e8b,1020,2023-06-06,1,27.37,21.9,Orders_2023.csv
9e585bf1-84a2-4114-9dc3-257c16135722,345e77bf-4a44-4a4c-9b4f-6f5e21e39e8b,1024,2023-02-03,4,299.48,69.8,Orders_2023.csv
903bba2c-9675-47cf-bf2a-7442a8b98f3d,c672d9cb-b74b-48ea-bff3-908ff9790632,1034,2023-12-09,3,1015.08,404.1,Orders_2023.csv
7f56a618-6729-4867-ad4e-52332273cb58,c672d9cb-b74b-48ea-bff3-908ff9790632,1047,2023-03-15,2,177.54,43.38,Orders_2023.csv
82f0b916-1aef-4819-99ec-c00de6a99356,c672d9cb-b74b-48ea-bff3-908ff9790632,1041,2023-06-09,1,43.2,28.28,Orders_2023.csv
d32e5b73-a061-498d-83a6-66635868d2c1,c672d9cb-b74b-48ea-bff3-908ff9790632,1013,2023-07-14,4,244.16,93.48,Orders_2023.csv
3c148cfe-832a-47a5-bf4a-3bcf4b420687,c672d9cb-b74b-48ea-bff3-908ff9790632,1033,2023-12-07,4,943.04,481.76,Orders_2023.csv
1d6e16cb-2dcc-4cfd-9ad3-708e2d1e22b3,c672d9cb-b74b-48ea-bff3-908ff9790632,1049,2023-04-24,1,74.87,17.45,Orders_2023.csv
a8260b69-02f6-496c-88c1-08194ab4f5be,c672d9cb-b74b-48ea-bff3-908ff9790632,1024,2023-11-24,1,74.87,17.45,Orders_2023.csv
